"Service","SageMaker($)","Relational Database Service($)","OpenSearch Service($)","CloudWatch($)","Kinesis($)","S3($)","EC2-Other($)","EC2-Instances($)","API Gateway($)","DynamoDB($)","Managed Service for Prometheus($)","MemoryDB($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","GuardDuty($)","Key Management Service($)","VPC($)","Kinesis Firehose($)","Managed Grafana($)","ElastiCache($)","Secrets Manager($)","Inspector($)","Cognito($)","Lambda($)","DMS($)","Directory Service($)","EC2 Container Registry (ECR)($)","Pinpoint($)","CodeWhisperer($)","SES($)","Config($)","Linux 2 AMI with Support by Supported Images($)","Elastic File System($)","SQS($)","Athena($)","SNS($)","CloudTrail($)","Cloud Map($)","Cost Explorer($)","IoT($)","CloudWatch Events($)","CloudFront($)","Systems Manager($)","IoT Device Management($)","Backup($)","CloudShell($)","Step Functions($)","Glue($)","Service Catalog($)","X-Ray($)","Elastic Container Service($)","CloudFormation($)","Total costs($)"
"Service total","40522.2207819003","29517.6299172777","23738.4755294461","21211.2228951712","10938.1899014725","10160.3164230543","7574.0780341504","6380.3491660266","4657.8890844553","4384.8501074414","3145.721783911","2516.2096827067","2501.160899557","2171.4929919286","1961.5874028948","1574.6064118516","1432.9341298438","1100.7599638764","1037","891.072","551.0200318739","444.7744201847","427.87","404.5421705009","230.2330031468","218.2225847239","184.7822485773","119.999999604","75.999867","75.6573837987","58.135","41.72","34.6236571566","18.8037137449","15.972455","10.6734259332","1.239511","0.6000000384","0.09","0.07769767","0.006819","0.0007166021","0.000468","0.00006","0.0000021912","5.945e-7","1.19e-8","0","0","0","0","0","180332.8123433187"
"2024-02-01","4262.014179255","4151.3063556626","3186.8143120888","1696.2373340594","1337.2727811503","1911.623568726","1169.2516869618","221.7596277826","501.3248376588","637.4004252214","353.0512606827","400.8994501305","139.2","296.5522695827","181.8584124487","72.4489788624","222.5197410001","158.2226988332","125","141.984","126.8919923822","65.1622170016","64.04","13.0924609953","25.4790031468","34.7688655003","30.5051328289","19.9999999416","19.000133","10.8718956722","8.713","41.72","0.5248300964","2.6558037832","","1.2828212926","0.184924","0.1000000272","","","0.000977","0.0000756947","","","0.0000001392","0.0000000679","0.0000000017","0","0","0","0","","21631.7360526788"
"2024-03-01","5247.3423983819","4625.5676401561","3314.5645331919","4029.8022770032","1618.5910669824","2467.7626058223","1204.5351710954","749.201826686","589.2087919685","739.096826444","440.1793697467","428.568610915","152.145328194","348.0978733589","572.3600219224","641.3408855786","243.2668294305","169.2290519571","107","151.776","87.44473085","69.8940184563","69.3","16.3853644087","","37.2570681525","30.6093401805","19.9999998288","18.999962","10.112949435","8.525","","0.5248326402","2.9902669499","0.579615","1.5073571115","0.202667","0.0999999984","","","0.001366","0.0002260012","","","0.000000381","0.0000003752","0.0000000017","0","","0","0","","28214.0718736058"
"2024-04-01","5930.7702476304","4561.138730838","3259.3882236907","3032.2277928209","1785.093334905","1748.1936422949","1213.6982785745","879.7378410039","681.5875822087","732.576026444","431.4389413949","414.7694144551","172.476127695","306.4129494736","545.0706771725","710.1773907577","232.2943371895","176.2578225606","135","146.88","82.0792833203","70.7402600788","76.885","21.805954571","42.284","35.9454750279","30.7123631943","20.000000088","18.99981","11.7861628447","9.867","","0.5248324341","2.9312748956","8.2085","2.2487190852","0.189921","0.100000008","","","0.00109","0.0001174284","0.000312","","0.000000417","","0.0000000034","0","","0","0","","27530.4994375066"
"2024-05-01","9226.9401336116","5310.5538788875","5087.6037044763","3429.6535412616","2077.1056532338","1285.3405946067","1266.6383487155","1043.1780866199","671.6380639366","766.022426444","443.8020650861","428.5959067338","954.073429332","362.6282928343","185.7107085741","48.947079524","240.8360230248","199.7320095228","178","151.776","83.075402727","78.1912798033","77.28","144.9126346581","162.47","37.1408161394","30.7762815982","19.9999998288","0","16.1175051978","12.938","","1.5726838109","3.3807483189","7.18434","2.3247248488","0.192481","0.0999999984","","","0.001434","0.0000846511","","","0.0000004185","0.0000001514","0.0000000034","0","0","0","0","","34036.4343635794"
"2024-06-01","7603.6021622132","5577.2126606431","4121.4760960526","4379.5705217682","2021.6804609964","1356.7163127388","1400.2723432022","1852.5405732701","831.4129406328","740.964146444","638.8933800306","414.7753803966","815.6347285","444.0314565325","227.6010014771","51.1565554309","247.6992965402","192.5797023402","209","146.88","84.7660900081","83.0200402509","72.545","103.3457012955","","35.996541667","30.9683018521","20.000000088","0","11.595632835","9.507","","8.4375751264","3.352274","","2.07166164","0.227483","0.100000008","0.09","0.00617749","0.000907","0.0000363312","0.000156","0.00006","0.000000417","","0.0000000017","0","","0","0","","33739.7303582204"
"2024-07-01","8251.5516608082","5291.8506510904","4768.6286599458","4643.7314282579","2098.4466042046","1390.6796988656","1319.682205601","1633.9312106641","1382.7168680499","768.790256444","838.35676697","428.6009200757","267.631285836","413.7701501466","248.9865813","50.535521698","246.3179026587","204.7386786625","283","151.776","86.7625325863","77.7666045938","67.82","105.0000545723","","37.1138182368","31.2108289233","19.9999998288","18.999962","15.173237814","8.585","","23.0389030486","3.4933457973","","1.2381419551","0.242035","0.0999999984","","0.07152018","0.001045","0.0001764955","","","0.0000004185","","","0","0","0","0","0","35180.3402577277"
