"Service","SageMaker($)","OpenSearch Service($)","Relational Database Service($)","CloudWatch($)","Support (Business)($)","S3($)","Kinesis($)","Savings Plans for  Compute usage($)","EC2-Other($)","API Gateway($)","GuardDuty($)","DynamoDB($)","MemoryDB($)","Elastic Load Balancing($)","Managed Service for Prometheus($)","Key Management Service($)","Elastic Container Service for Kubernetes($)","VPC($)","Managed Grafana($)","Kinesis Firehose($)","ElastiCache($)","Cognito($)","Inspector($)","Secrets Manager($)","Directory Service($)","Lambda($)","EC2-Instances($)","EC2 Container Registry (ECR)($)","Pinpoint($)","CodeWhisperer($)","Route 53($)","SES($)","Config($)","SQS($)","Athena($)","DMS($)","Registrar($)","Elastic File System($)","SNS($)","IoT 1 Click($)","Cloud Map($)","CloudWatch Events($)","CloudFront($)","Backup($)","CloudShell($)","Step Functions($)","CloudTrail($)","Glue($)","X-Ray($)","Elastic Container Service($)","Tax($)","Service Catalog($)","CloudFormation($)","Total costs($)"
"Service total","31358.707601682","20713.8567615066","19913.4587005816","19137.4154020413","11738.072455475","9323.4188735524","7978.9008964581","7862.4","4543.6082329121","4437.0323039051","1968.7625432673","1810.5673574414","1677.5388107586","1604.6222945008","1544.4397996126","1456.3901479137","1318.233149836","763.7320754869","636","513.6631847253","445.536","427.675","326.5766311209","325.4562590961","218.2225847239","192.4558458092","151.9151202914","142.8401003104","119.999999604","75.999867","71.1812090587","69.6973987081","58.135","26.4080108597","15.972455","15.5315031468","15","12.5649922707","10.6730764552","1.5","0.6000000384","0.004145","0.0002872151","0.0000013575","2.193e-7","1.7e-9","0","0","0","0","0","0","0","153024.7660789439"
"2024-02-01","3119.4549696896","2702.2340026464","2865.9332613733","1542.6399114159","1522.3410836404","1791.6944352982","974.569092864","1252.8","705.3025189201","484.3233189451","182.8911552141","275.1840252214","267.2656749507","216.8974516943","267.1180682448","53.4260167632","69.6","118.0362832801","78","74.0006745393","70.992","63.995","51.1995258747","91.648540386","34.7688655003","0.8168925875","6.5345308615","23.7899685841","19.9999999416","19.000133","10.6529359982","10.6116737529","8.713","4.1017948","","1.4155031468","","0.000731844","1.2827866998","0.25","0.1000000272","0.000734","0.0000007072","","0.0000000679","","0","0","0","0","0","","","18983.5865624806"
"2024-03-01","3980.5613571214","2806.8934134368","3061.8020408746","3840.5038108794","1961.3235223184","2338.2430296562","1347.7963988932","1339.2","730.6086173678","562.5459848084","573.5003661641","294.840026444","285.718383935","262.9543568462","229.247748708","622.1978684106","74.4","131.4823872341","69","79.1434474058","75.888","69.225","54.458003266","51.120313984","37.2570681525","6.2338561214","9.2501378717","23.7789615312","19.9999998288","18.999962","11.1900027985","9.797961104","8.525","4.3914068","0.579615","","","0.0007316796","1.5072167875","0.25","0.0999999984","0.000592","0.0001018128","0.0000002415","","0.0000000017","0","0","0","0","0","","","24994.5166914836"
"2024-04-01","4469.8491622904","2754.5218173148","2786.7366600191","2810.3450980353","1806.9983817814","1615.5773698517","1376.6500445063","1296","718.4912537323","650.0335584928","546.1864439486","299.208026444","276.5259892272","223.3412122955","230.1696236371","690.8697690776","72","124.0901827414","84","82.998824306","73.44","76.855","52.3809908289","44.9640972039","35.9454750279","9.031353929","10.5792141302","23.7956477503","20.000000088","18.99981","11.526264797","11.401181136","9.867","4.2984717772","8.2085","7.06","","0.000728424","2.2487016951","0.25","0.100000008","0.000755","0.0000792294","0.000000279","","","0","0","0","0","0","","","23335.5466890054"
"2024-05-01","7384.1214380095","4579.9231881531","3468.5650184658","3056.7477627332","2140.1889866164","1112.7476657079","1440.4635686817","1339.2","764.9772203559","629.6025314599","186.9741272782","317.304026444","285.7458819602","267.5110773005","228.9963887152","27.964952266","446.4","127.9687928876","118","94.3835604278","75.888","77.25","53.3170308127","45.2137455574","37.1408161394","4.9117150816","11.03651666","23.8074179671","19.9999998288","0","11.9594218695","15.7784296626","12.938","4.6590464852","7.18434","7.056","","0.000730134","2.3246813471","0.25","0.0999999984","0.000993","0.0000093474","0.000000279","0.0000001514","","0","0","0","0","0","0","","28428.6030817845"
"2024-06-01","6048.9603320598","3625.3322133751","4013.8029373267","3780.9319909853","2106.6351410975","1210.2985011602","1395.0281194182","1296","860.325908116","805.7045495954","228.8783043494","306.727226444","276.5322890041","324.7421656399","253.4810854223","30.7367635203","462.601864","128.5285000861","136","90.2811085775","73.44","72.53","58.4812167081","46.0265577642","35.996541667","78.99665164","83.3336354097","23.8161404","20.000000088","0","11.908461597","11.1743654683","9.507","4.4562024","","","15","2.0908472423","2.0715830148","0.25","0.100000008","0.000356","0.0000180249","0.000000279","","","0","0","0","0","0","","","27930.7085778891"
"2024-07-01","6355.7603425113","4244.9521265804","3716.6187825221","4106.2468279922","2200.5853400209","1254.8578718782","1444.3936720947","1339.2","763.90271442","1304.8223606035","250.3321463129","317.304026444","285.7505916814","309.1760307244","335.4268848852","31.194777876","193.231285836","133.6259292576","151","92.8555694689","75.888","67.82","56.7398636305","46.4830042006","37.1138182368","92.4653764497","31.1810853583","23.8519640777","19.9999998288","18.999962","13.9441219985","10.9337875843","8.585","4.5010885973","","","","10.4712229468","1.2381069109","0.25","0.0999999984","0.000715","0.0000780934","0.000000279","","","0","0","0","0","0","0","0","29351.8044763007"
